"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Zotu.2019","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus","Roseiflexus_unclass"
"Zotu.2020","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Rheinheimera","Rheinheimera_aquimaris"
"Zotu.2021","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexaceae_ge","Oligoflexaceae_ge_unclass"
"Zotu.2022","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia","Dietzia_timorensis"
"Zotu.2023","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Candidatus_Symbiobacter","Candidatus_Symbiobacter_unclass"
"Zotu.2024","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group","Christensenellaceae_R-7_group_unclass"
"Zotu.2025","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella_baltica"
"Zotu.2026","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Kutzneria","Kutzneria_kofuensis"
"Zotu.2027","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium_vanbaalenii"
"Zotu.2028","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_rivuli"
"Zotu.2029","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Agaricicola","Agaricicola_unclass"
"Zotu.2030","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_barengoltzii"
"Zotu.2031","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella","Reyranella_unclass"
"Zotu.2032","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclass","Rhodospirillaceae_unclass"
"Zotu.2033","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Proteiniphilum","Proteiniphilum_unclass"
"Zotu.2034","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges","Alkanindiges_unclass"
"Zotu.2035","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_FCS020_group","Lachnospiraceae_FCS020_group_unclass"
"Zotu.2036","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_ge","Ruminococcaceae_ge_unclass"
"Zotu.2037","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","Kribbella_flavida"
"Zotu.2038","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonadaceae_unclass","Xanthomonadaceae_unclass"
"Zotu.2039","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aliihoeflea","Aliihoeflea_aestuarii"
"Zotu.2040","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter","Aminobacter_aganoensis"
"Zotu.2041","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_unclass","uncultured_ge","uncultured_ge_unclass"
"Zotu.2042","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium_nucleatum"
"Zotu.2043","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","1174-901-12","1174-901-12_ge","1174-901-12_ge_unclass"
"Zotu.2044","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_1","Ruminiclostridium_1_unclass"
"Zotu.2045","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_oralis"
"Zotu.2046","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus_parainfluenzae"
"Zotu.2047","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge","Mitochondria_ge_unclass"
"Zotu.2048","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Subdoligranulum_unclass"
"Zotu.2049","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","Saccharopolyspora_indica"
"Zotu.2050","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_saprophyticus"
"Zotu.2051","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_mucilaginosa"
"Zotu.2052","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge","Mitochondria_ge_unclass"
"Zotu.2053","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Empedobacter","Wautersiella_falsenii"
"Zotu.2054","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_columbae"
"Zotu.2055","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_oralis"
"Zotu.2056","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella","Lawsonella_unclass"
"Zotu.2057","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea_unclass"
"Zotu.2058","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella_4","Tyzzerella_nexilis"
"Zotu.2059","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","Saccharopolyspora_indica"
"Zotu.2060","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_fluorescens"
"Zotu.2061","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","Corynebacterium_tuberculostearicum"
